CustomerID,Gender,SeniorCitizen,Tenure_Months,ContractType,MonthlyCharges,InternetService,TechSupport,PaymentMethod,TotalCharges,Churn
CUST10078,Male,0,22,One Year,117.98,DSL,No,Credit Card,2595.56,Yes
CUST10079,Female,0,16,Month-to-Month,87.04,Fiber Optic,No,Bank Transfer,1392.64,Yes
CUST10080,Male,0,32,One Year,46.43,DSL,Yes,Credit Card,1485.76,No
CUST10081,Female,0,66,Month-to-Month,43.69,No,No,Credit Card,2883.54,Yes
CUST10082,Male,0,14,Month-to-Month,91.62,Fiber Optic,Yes,Credit Card,1282.68,No
CUST10083,Female,1,38,Month-to-Month,38.41,DSL,No,Bank Transfer,1459.58,No
CUST10084,Male,0,8,One Year,37.57,No,Yes,Bank Transfer,300.56,No
CUST10085,Male,0,21,Month-to-Month,20.0,No,No,Mailed Check,420.0,Yes
CUST10086,Female,0,56,Month-to-Month,88.7,Fiber Optic,No,Mailed Check,4967.2,Yes
CUST10087,Male,0,46,One Year,45.71,DSL,No,Bank Transfer,2102.66,No
CUST10088,Female,0,43,One Year,80.79,DSL,No,Electronic Check,3473.97,No
CUST10089,Female,0,46,Two Year,30.93,DSL,No,Mailed Check,1422.78,No
CUST10090,Female,1,48,Month-to-Month,20.85,Fiber Optic,No,Credit Card,1000.8,Yes
CUST10091,Female,0,70,Month-to-Month,91.59,DSL,Yes,Credit Card,6411.3,No
CUST10092,Female,0,31,Month-to-Month,65.24,Fiber Optic,No,Credit Card,2022.44,Yes
CUST10093,Female,0,33,One Year,49.65,DSL,No,Electronic Check,1638.45,No
CUST10094,Female,0,44,Month-to-Month,55.41,Fiber Optic,No,Mailed Check,2438.04,Yes
CUST10095,Female,0,71,Two Year,55.51,Fiber Optic,No,Bank Transfer,3941.21,No
CUST10096,Female,0,8,Month-to-Month,131.03,DSL,Yes,Bank Transfer,1048.24,No
CUST10097,Female,0,2,Two Year,77.96,Fiber Optic,No,Electronic Check,155.92,Yes
CUST10098,Female,0,17,One Year,74.17,Fiber Optic,No,Bank Transfer,1260.89,No
CUST10099,Male,0,52,Two Year,47.4,Fiber Optic,No,Electronic Check,2464.8,No
CUST10100,Male,0,45,Month-to-Month,93.6,Fiber Optic,No,Bank Transfer,4212.0,Yes
CUST10101,Female,0,37,Month-to-Month,35.43,Fiber Optic,No,Bank Transfer,1310.91,Yes
CUST10102,Female,0,42,Month-to-Month,85.56,No,No,Electronic Check,3593.52,No
CUST10103,Female,0,44,Month-to-Month,85.72,Fiber Optic,No,Bank Transfer,3771.68,Yes
CUST10104,Female,0,38,Month-to-Month,100.53,DSL,No,Mailed Check,3820.14,No
CUST10105,Female,0,6,One Year,20.0,DSL,No,Bank Transfer,120.0,No
CUST10106,Female,0,68,Month-to-Month,103.82,DSL,Yes,Credit Card,7059.76,Yes
CUST10107,Female,0,51,Two Year,80.61,DSL,No,Electronic Check,4111.11,No
CUST10108,Female,1,35,Month-to-Month,47.37,Fiber Optic,Yes,Bank Transfer,1657.95,No
CUST10109,Male,1,58,Month-to-Month,20.0,Fiber Optic,No,Mailed Check,1160.0,Yes
CUST10110,Female,0,57,Month-to-Month,57.81,No,No,Bank Transfer,3295.17,No
CUST10111,Male,0,6,One Year,75.6,DSL,No,Bank Transfer,453.6,No
CUST10112,Female,0,13,Month-to-Month,24.4,Fiber Optic,No,Credit Card,317.2,Yes
CUST10113,Female,0,59,Two Year,44.47,Fiber Optic,No,Mailed Check,2623.73,No
CUST10114,Male,0,30,Month-to-Month,32.1,No,No,Bank Transfer,963.0,Yes
CUST10115,Female,0,2,Two Year,56.96,DSL,No,Bank Transfer,113.92,Yes
CUST10116,Male,0,58,Month-to-Month,37.35,DSL,No,Credit Card,2166.3,Yes
CUST10117,Female,1,36,Month-to-Month,135.11,DSL,Yes,Electronic Check,4863.96,Yes
CUST10118,Female,0,45,One Year,95.91,Fiber Optic,No,Electronic Check,4315.95,Yes
CUST10119,Male,0,9,One Year,36.83,DSL,No,Electronic Check,331.47,No
CUST10120,Female,0,65,Month-to-Month,41.2,Fiber Optic,No,Credit Card,2678.0,Yes
CUST10121,Male,0,50,Two Year,25.57,DSL,No,Electronic Check,1278.5,No
CUST10122,Female,0,32,Month-to-Month,65.49,DSL,Yes,Mailed Check,2095.68,No
CUST10123,Male,1,43,One Year,123.25,DSL,No,Electronic Check,5299.75,No
CUST10124,Male,0,54,Month-to-Month,105.92,No,No,Electronic Check,5719.68,Yes
CUST10125,Female,0,47,Month-to-Month,75.94,Fiber Optic,No,Bank Transfer,3569.18,Yes
CUST10126,Female,0,14,Month-to-Month,61.17,Fiber Optic,No,Mailed Check,856.38,Yes
CUST10127,Male,1,48,Two Year,86.54,DSL,Yes,Credit Card,4153.92,No
CUST10128,Female,0,55,Two Year,78.39,DSL,No,Mailed Check,4311.45,No
CUST10129,Female,0,29,Month-to-Month,82.99,Fiber Optic,No,Electronic Check,2406.71,Yes
CUST10130,Female,0,47,Two Year,75.92,DSL,No,Bank Transfer,3568.24,Yes
CUST10131,Male,0,63,Month-to-Month,83.34,DSL,No,Credit Card,5250.42,No
CUST10132,Male,0,19,One Year,27.38,DSL,Yes,Mailed Check,520.22,No
CUST10133,Male,0,9,Month-to-Month,66.39,DSL,No,Mailed Check,597.51,Yes
CUST10134,Male,0,37,Month-to-Month,77.01,DSL,Yes,Electronic Check,2849.37,No
CUST10135,Male,0,52,Month-to-Month,56.95,DSL,No,Electronic Check,2961.4,No
CUST10136,Male,1,57,Month-to-Month,32.57,Fiber Optic,Yes,Credit Card,1856.49,Yes
CUST10137,Male,0,28,Month-to-Month,70.16,Fiber Optic,Yes,Electronic Check,1964.48,No
CUST10138,Male,0,36,One Year,194.44,Fiber Optic,Yes,Bank Transfer,6999.84,No
CUST10139,Male,0,64,Month-to-Month,45.31,DSL,No,Credit Card,2899.84,Yes
CUST10140,Female,0,18,Two Year,65.73,Fiber Optic,No,Electronic Check,1183.14,No
CUST10141,Male,1,35,One Year,107.84,DSL,No,Credit Card,3774.4,No
CUST10142,Female,0,68,Month-to-Month,123.19,Fiber Optic,Yes,Mailed Check,8376.92,No
CUST10143,Female,0,39,Month-to-Month,52.5,Fiber Optic,No,Credit Card,2047.5,Yes
CUST10144,Female,0,8,One Year,98.94,Fiber Optic,No,Mailed Check,791.52,Yes
CUST10145,Male,0,15,Two Year,93.74,Fiber Optic,No,Credit Card,1406.1,No
CUST10146,Male,0,7,Two Year,54.81,DSL,No,Electronic Check,383.67,Yes
CUST10147,Male,0,17,One Year,88.75,Fiber Optic,No,Mailed Check,1508.75,No
CUST10148,Male,0,64,Month-to-Month,64.81,Fiber Optic,No,Credit Card,4147.84,Yes
CUST10149,Female,1,12,One Year,51.2,Fiber Optic,Yes,Bank Transfer,614.4,Yes
CUST10150,Male,0,56,Month-to-Month,121.57,Fiber Optic,No,Electronic Check,6807.92,Yes
CUST10151,Male,0,46,Month-to-Month,89.48,DSL,No,Credit Card,4116.08,Yes
CUST10152,Male,0,47,One Year,20.0,DSL,No,Credit Card,940.0,Yes
CUST10153,Male,0,16,Two Year,66.17,Fiber Optic,No,Mailed Check,1058.72,Yes
CUST10154,Male,0,69,Two Year,54.42,DSL,No,Mailed Check,3754.98,No
CUST10155,Female,0,2,Month-to-Month,63.68,DSL,No,Electronic Check,127.36,Yes
CUST10156,Male,0,54,One Year,85.48,No,No,Mailed Check,4615.92,No
CUST10157,Female,0,27,Two Year,78.8,DSL,No,Credit Card,2127.6,No
CUST10158,Male,0,31,One Year,113.02,Fiber Optic,No,Credit Card,3503.62,Yes
CUST10159,Female,1,41,Month-to-Month,106.66,Fiber Optic,No,Mailed Check,4373.06,Yes
CUST10160,Male,0,36,One Year,33.58,DSL,No,Electronic Check,1208.88,No
CUST10161,Male,0,47,Month-to-Month,67.05,No,No,Bank Transfer,3151.35,No
CUST10162,Female,0,43,One Year,20.0,DSL,No,Credit Card,860.0,No
CUST10163,Female,0,65,One Year,40.1,DSL,No,Credit Card,2606.5,Yes
CUST10164,Female,0,50,One Year,20.0,DSL,No,Mailed Check,1000.0,No
CUST10165,Male,0,1,Month-to-Month,22.96,Fiber Optic,No,Bank Transfer,22.96,Yes
CUST10166,Female,0,57,Month-to-Month,112.0,No,No,Credit Card,6384.0,Yes
CUST10167,Male,0,16,Month-to-Month,92.58,Fiber Optic,Yes,Bank Transfer,1481.28,Yes
CUST10168,Male,0,28,Month-to-Month,88.51,Fiber Optic,No,Bank Transfer,2478.28,Yes
CUST10169,Female,0,22,Two Year,105.26,DSL,No,Credit Card,2315.72,No
CUST10170,Female,0,41,Month-to-Month,88.38,No,No,Bank Transfer,3623.58,No
CUST10171,Male,0,19,Month-to-Month,67.46,Fiber Optic,Yes,Bank Transfer,1281.74,No
CUST10172,Male,0,50,Two Year,52.32,DSL,No,Mailed Check,2616.0,No
CUST10173,Female,0,59,Month-to-Month,120.87,Fiber Optic,No,Mailed Check,7131.33,No
CUST10174,Female,0,69,One Year,109.19,No,No,Bank Transfer,7534.11,No
CUST10175,Female,0,34,Month-to-Month,63.42,Fiber Optic,No,Electronic Check,2156.28,Yes
CUST10176,Male,0,39,Month-to-Month,92.92,DSL,No,Bank Transfer,3623.88,Yes
CUST10177,Male,0,7,Two Year,20.0,No,Yes,Credit Card,140.0,No
CUST10178,Male,0,52,Month-to-Month,94.43,DSL,No,Electronic Check,4910.36,No
CUST10179,Male,0,60,Month-to-Month,54.98,Fiber Optic,Yes,Mailed Check,3298.8,Yes
CUST10180,Male,0,52,Month-to-Month,151.37,DSL,No,Electronic Check,7871.24,Yes
CUST10181,Male,0,24,Month-to-Month,104.52,No,No,Mailed Check,2508.48,No
CUST10182,Female,0,26,Two Year,20.0,DSL,No,Electronic Check,520.0,No
CUST10183,Male,0,10,One Year,48.66,Fiber Optic,Yes,Bank Transfer,486.6,No
CUST10184,Male,0,17,Month-to-Month,71.82,DSL,Yes,Mailed Check,1220.94,Yes
CUST10185,Male,0,2,One Year,68.73,Fiber Optic,No,Credit Card,137.46,Yes
CUST10186,Female,1,27,One Year,67.37,No,No,Electronic Check,1818.99,Yes
CUST10187,Male,0,71,Two Year,99.54,No,No,Bank Transfer,7067.34,No
CUST10188,Male,0,48,Month-to-Month,53.78,DSL,No,Electronic Check,2581.44,No
CUST10189,Female,0,9,Two Year,67.83,DSL,No,Electronic Check,610.47,Yes
CUST10190,Male,0,23,Month-to-Month,115.78,DSL,No,Credit Card,2662.94,Yes
CUST10191,Male,0,71,One Year,116.27,Fiber Optic,Yes,Electronic Check,8255.17,Yes
CUST10192,Male,0,27,Two Year,99.33,Fiber Optic,Yes,Credit Card,2681.91,No
CUST10193,Male,0,71,Month-to-Month,59.51,Fiber Optic,Yes,Mailed Check,4225.21,No
CUST10194,Male,0,43,Month-to-Month,48.78,DSL,Yes,Credit Card,2097.54,No
CUST10195,Female,0,7,Month-to-Month,68.76,DSL,No,Credit Card,481.32,Yes
CUST10196,Female,1,63,Month-to-Month,70.85,Fiber Optic,No,Mailed Check,4463.55,Yes
CUST10197,Female,0,44,Month-to-Month,68.94,DSL,No,Credit Card,3033.36,Yes
CUST10198,Male,1,39,One Year,86.69,DSL,No,Bank Transfer,3380.91,No
CUST10199,Male,0,40,Month-to-Month,80.82,DSL,No,Electronic Check,3232.8,Yes
CUST10200,Male,0,7,Month-to-Month,79.57,DSL,No,Credit Card,556.99,Yes
CUST10201,Female,0,70,Month-to-Month,56.0,DSL,No,Electronic Check,3920.0,Yes
CUST10202,Male,0,25,Month-to-Month,34.03,No,No,Credit Card,850.75,Yes
CUST10203,Male,1,59,Month-to-Month,90.84,DSL,Yes,Mailed Check,5359.56,No
CUST10204,Female,1,13,One Year,71.82,Fiber Optic,No,Mailed Check,933.66,No
CUST10205,Male,1,62,Month-to-Month,82.26,Fiber Optic,No,Electronic Check,5100.12,Yes
CUST10206,Female,0,8,Two Year,83.1,Fiber Optic,No,Electronic Check,664.8,No
CUST10207,Female,0,45,Month-to-Month,20.0,DSL,No,Electronic Check,900.0,Yes
CUST10208,Female,0,18,Two Year,121.65,DSL,No,Mailed Check,2189.7,Yes
CUST10209,Male,1,60,Month-to-Month,53.05,DSL,No,Electronic Check,3183.0,No
CUST10210,Male,0,60,One Year,111.22,Fiber Optic,Yes,Credit Card,6673.2,Yes
CUST10211,Male,0,2,One Year,82.74,Fiber Optic,Yes,Credit Card,165.48,Yes
CUST10212,Male,0,66,One Year,37.64,No,No,Electronic Check,2484.24,No
CUST10213,Male,0,14,One Year,48.77,DSL,No,Mailed Check,682.78,No
CUST10214,Male,1,48,Two Year,49.33,Fiber Optic,Yes,Credit Card,2367.84,No
CUST10215,Male,0,56,One Year,51.05,Fiber Optic,No,Mailed Check,2858.8,No
CUST10216,Female,0,12,One Year,20.0,DSL,No,Mailed Check,240.0,No
CUST10217,Male,0,55,Two Year,46.05,DSL,No,Mailed Check,2532.75,No
CUST10218,Female,0,28,One Year,99.02,Fiber Optic,Yes,Electronic Check,2772.56,No
CUST10219,Male,0,4,Month-to-Month,102.09,DSL,Yes,Mailed Check,408.36,No
CUST10220,Male,0,36,Month-to-Month,49.71,No,No,Mailed Check,1789.56,No
CUST10221,Male,0,50,Two Year,20.0,DSL,No,Electronic Check,1000.0,No
CUST10222,Female,1,3,Month-to-Month,88.93,DSL,No,Bank Transfer,266.79,Yes
CUST10223,Female,0,1,One Year,37.64,Fiber Optic,No,Credit Card,37.64,No
CUST10224,Female,0,17,Month-to-Month,39.98,DSL,Yes,Electronic Check,679.66,No
CUST10225,Female,1,71,Month-to-Month,61.51,No,Yes,Credit Card,4367.21,Yes
CUST10226,Male,0,62,One Year,58.71,Fiber Optic,Yes,Electronic Check,3640.02,No
CUST10227,Female,0,48,Month-to-Month,46.31,Fiber Optic,Yes,Electronic Check,2222.88,No
CUST10228,Male,0,62,Month-to-Month,49.02,No,Yes,Electronic Check,3039.24,Yes
CUST10229,Male,0,69,Month-to-Month,54.94,DSL,No,Credit Card,3790.86,No
CUST10230,Female,0,19,Month-to-Month,48.58,Fiber Optic,No,Electronic Check,923.02,Yes
CUST10231,Female,1,34,One Year,50.47,No,No,Electronic Check,1715.98,Yes
CUST10232,Female,0,49,Month-to-Month,60.83,Fiber Optic,No,Electronic Check,2980.67,Yes
CUST10233,Female,0,47,One Year,80.6,DSL,No,Credit Card,3788.2,No
CUST10234,Female,0,50,Month-to-Month,77.47,DSL,Yes,Bank Transfer,3873.5,Yes
CUST10235,Female,0,26,Two Year,53.73,Fiber Optic,No,Electronic Check,1396.98,No
CUST10236,Female,0,56,Month-to-Month,60.5,Fiber Optic,Yes,Electronic Check,3388.0,No
CUST10237,Female,0,14,Month-to-Month,110.33,DSL,No,Electronic Check,1544.62,Yes
CUST10238,Male,0,25,Month-to-Month,99.6,Fiber Optic,Yes,Electronic Check,2490.0,Yes
CUST10239,Female,0,4,Month-to-Month,86.45,DSL,Yes,Electronic Check,345.8,No
CUST10240,Female,1,32,Month-to-Month,20.0,Fiber Optic,Yes,Bank Transfer,640.0,Yes
CUST10241,Male,0,65,One Year,73.21,No,No,Mailed Check,4758.65,No
CUST10242,Female,0,61,Month-to-Month,49.74,Fiber Optic,No,Mailed Check,3034.14,Yes
CUST10243,Male,0,20,Month-to-Month,41.3,Fiber Optic,No,Electronic Check,826.0,Yes
CUST10244,Male,0,10,Month-to-Month,59.21,DSL,No,Credit Card,592.1,Yes
CUST10245,Female,0,34,Two Year,101.41,DSL,Yes,Bank Transfer,3447.94,No
CUST10246,Male,0,61,Month-to-Month,96.65,DSL,Yes,Bank Transfer,5895.65,No
CUST10247,Male,0,27,Month-to-Month,51.41,Fiber Optic,No,Bank Transfer,1388.07,No
CUST10248,Male,0,40,Month-to-Month,72.54,DSL,No,Mailed Check,2901.6,Yes
CUST10249,Male,1,65,One Year,57.35,DSL,No,Credit Card,3727.75,Yes
CUST10250,Female,1,33,One Year,62.8,Fiber Optic,No,Mailed Check,2072.4,Yes
CUST10251,Male,1,68,Month-to-Month,99.93,Fiber Optic,No,Bank Transfer,6795.24,Yes
CUST10252,Female,0,71,Month-to-Month,68.11,Fiber Optic,No,Mailed Check,4835.81,Yes
CUST10253,Male,0,9,Month-to-Month,20.0,Fiber Optic,No,Mailed Check,180.0,Yes
CUST10254,Male,0,16,One Year,74.16,DSL,No,Electronic Check,1186.56,Yes
CUST10255,Male,0,5,Month-to-Month,124.49,DSL,No,Electronic Check,622.45,Yes
CUST10256,Male,0,23,Two Year,49.0,Fiber Optic,No,Electronic Check,1127.0,No
CUST10257,Female,0,43,Month-to-Month,116.46,DSL,No,Bank Transfer,5007.78,Yes
CUST10258,Female,0,57,Month-to-Month,88.52,DSL,No,Electronic Check,5045.64,Yes
CUST10259,Male,0,51,Month-to-Month,105.29,Fiber Optic,Yes,Bank Transfer,5369.79,No
CUST10260,Male,0,13,One Year,96.26,Fiber Optic,Yes,Electronic Check,1251.38,No
CUST10261,Female,0,24,One Year,75.33,DSL,Yes,Bank Transfer,1807.92,No
CUST10262,Male,0,11,Two Year,51.6,DSL,No,Mailed Check,567.6,Yes
CUST10263,Male,0,52,Month-to-Month,75.27,Fiber Optic,Yes,Credit Card,3914.04,Yes
CUST10264,Male,0,17,Month-to-Month,77.0,DSL,No,Bank Transfer,1309.0,Yes
CUST10265,Female,0,37,Month-to-Month,99.15,DSL,No,Mailed Check,3668.55,No
CUST10266,Female,0,13,Month-to-Month,20.0,Fiber Optic,No,Electronic Check,260.0,Yes
CUST10267,Female,0,62,Month-to-Month,27.1,DSL,No,Mailed Check,1680.2,Yes
CUST10268,Male,0,8,Month-to-Month,77.09,DSL,Yes,Mailed Check,616.72,Yes
CUST10269,Male,0,56,Month-to-Month,79.98,Fiber Optic,Yes,Credit Card,4478.88,Yes
CUST10270,Female,0,70,Month-to-Month,43.98,Fiber Optic,Yes,Electronic Check,3078.6,No
CUST10271,Female,1,44,One Year,80.72,Fiber Optic,No,Bank Transfer,3551.68,Yes
CUST10272,Female,0,60,Month-to-Month,90.35,Fiber Optic,No,Bank Transfer,5421.0,Yes
CUST10273,Female,0,41,One Year,64.16,Fiber Optic,Yes,Bank Transfer,2630.56,No
CUST10274,Male,0,21,Month-to-Month,112.89,Fiber Optic,No,Electronic Check,2370.69,Yes
CUST10275,Female,1,42,One Year,118.49,No,No,Bank Transfer,4976.58,No
CUST10276,Male,0,29,Month-to-Month,73.65,Fiber Optic,Yes,Credit Card,2135.85,Yes
CUST10277,Female,0,65,Month-to-Month,95.23,DSL,No,Mailed Check,6189.95,Yes
CUST10278,Male,0,17,Two Year,20.0,Fiber Optic,No,Electronic Check,340.0,Yes
CUST10279,Female,1,30,Month-to-Month,102.2,No,No,Bank Transfer,3066.0,Yes
CUST10280,Female,0,26,One Year,113.98,No,No,Mailed Check,2963.48,No
CUST10281,Female,0,53,One Year,39.54,DSL,Yes,Mailed Check,2095.62,No
CUST10282,Female,0,19,Month-to-Month,88.5,No,No,Credit Card,1681.5,No
CUST10283,Male,0,53,One Year,20.0,Fiber Optic,Yes,Bank Transfer,1060.0,Yes
CUST10284,Female,0,17,Two Year,46.4,DSL,No,Electronic Check,788.8,No
CUST10285,Male,0,46,Month-to-Month,54.39,No,No,Mailed Check,2501.94,Yes
CUST10286,Male,0,53,One Year,25.76,No,No,Credit Card,1365.28,No
CUST10287,Male,0,64,One Year,62.86,Fiber Optic,No,Mailed Check,4023.04,No
CUST10288,Male,0,45,Month-to-Month,60.88,No,No,Credit Card,2739.6,Yes
CUST10289,Female,1,49,Month-to-Month,88.5,Fiber Optic,No,Credit Card,4336.5,Yes
CUST10290,Male,0,19,Month-to-Month,24.58,Fiber Optic,Yes,Mailed Check,467.02,No
CUST10291,Male,0,71,One Year,88.7,No,Yes,Mailed Check,6297.7,No
CUST10292,Male,0,65,One Year,46.32,No,Yes,Bank Transfer,3010.8,No
CUST10293,Female,0,37,One Year,31.64,DSL,No,Electronic Check,1170.68,No
CUST10294,Female,0,70,Month-to-Month,64.11,DSL,No,Credit Card,4487.7,Yes
CUST10295,Female,0,26,Month-to-Month,92.58,DSL,Yes,Credit Card,2407.08,No
CUST10296,Female,0,2,One Year,55.47,Fiber Optic,No,Mailed Check,110.94,No
CUST10297,Male,0,59,Month-to-Month,85.42,Fiber Optic,Yes,Mailed Check,5039.78,No
CUST10298,Male,0,5,One Year,78.37,No,Yes,Mailed Check,391.85,No
